"","Name","Frequency"
"1110","ANNALISE",8
"1111","ARIADNE",8
"1112","ASIA",8
"1113","AUDRA",8
"1114","AVIA",8
"1115","BAANI",8
"1116","BELLAMY",8
"1117","BLESSING",8
"1118","BRIANA",8
"1119","BRYNLEY",8
"1120","CARLA",8
"1121","CARMELA",8
"1122","CARYS",8
"1123","CHARLI",8
"1124","CHAYA",8
"1125","CHELSEY",8
"1126","CHLOË",8
"1127","CLAIRA",8
"1128","COLETTE",8
"1129","DANYA",8
"1130","DARCY",8
"1131","DELIA",8
"1132","DELPHINE",8
"1133","DIVINE",8
"1134","DOMINIQUE",8
"1135","ELENI",8
"1136","ÉLISE",8
"1137","ELOÏSE",8
"1138","FATEMA",8
"1139","FELICIA",8
"1140","GIOVANNA",8
"1141","HAFSAH",8
"1142","HALA",8
"1143","HARNOOR",8
"1144","HAYA",8
"1145","IDA",8
"1146","INDIANA",8
"1147","IRA",8
"1148","IRHA",8
"1149","JAYA",8
"1150","JEAN",8
"1151","JULIANNE",8
"1152","JUNO",8
"1153","KAIRI",8
"1154","KAMRYN",8
"1155","KAROLINA",8
"1156","KASEY",8
"1157","KRYSTAL",8
"1158","LAKSHMI",8
"1159","LAYLAH",8
"1160","LEELA",8
"1161","LIANNA",8
"1162","LONDYN",8
"1163","LORENA",8
"1164","LUCIE",8
"1165","MACEY",8
"1166","MAGDALENA",8
"1167","MAIRA",8
"1168","MALIKA",8
"1169","MIAH",8
"1170","MICHELA",8
"1171","MONA",8
"1172","NAILA",8
"1173","NAWAL",8
"1174","NERIAH",8
"1175","NITYA",8
"1176","NOORA",8
"1177","PARIS",8
"1178","PIPPA",8
"1179","RAE",8
"1180","RAYAH",8
"1181","RIA",8
"1182","ROMY",8
"1183","ROSALEE",8
"1184","ROSALIND",8
"1185","SELAH",8
"1186","SHAM",8
"1187","SIMRAT",8
"1188","SOLEIL",8
"1189","SONYA",8
"1190","SUNNY",8
"1191","SYBIL",8
"1192","THERESA",8
"1193","TRUDY",8
"1194","VAIDA",8
"1195","VALENCIA",8
"1196","VIANNA",8
"1197","VIVIEN",8
"1198","WINIFRED",8
"1199","YANA",8
"1200","ZAYNAH",8
"1201","ZOIE",8
"1202","AAIRAH",7
"1203","AAMINAH",7
"1204","AARIA",7
"1205","ABBIE",7
"1206","ADELLE",7
"1207","AGANETHA",7
